latitude,longitude,city,state
21.306944,-157.858337,Honolulu,HI
36.169941,-115.139832,Las Vegas,NV
42.360081,-71.058884,Boston,MA
41.878113,-87.629799,Chicago,IL
33.66386,-117.90477,Costa Mesa,CA
32.776665,-96.796989,Dallas,TX
29.760427,-95.369804,Houston,TX
40.088322,-75.382133,King of Prussia,PA
34.07362,-118.400352,Beverly Hills,CA
36.169941,-115.139832,Las Vegas,NV
25.761681,-80.191788,Miami,FL
40.712776,-74.005974,New York,NY
28.53833,-81.37888,Orlando,FL
37.774929,-122.419418,San Francisco,CA
33.494171,-111.926048,Scottsdale,AZ
40.7256,-74.32592,Short Hills,NJ
37.35239,-121.953079,Santa Clara,CA
38.907192,-77.036873,Washington,DC
